GeneID	TranscriptLength
Tb927.8.8250	1991
Tb927.8.8260	2856
Tb11.v5.0541	NA
Tb11.v5.0569	NA
Tb11.v5.0885	NA
Tb927.8.5450	2682
Tb927.4.4730	1486
Tb927.8.4700	4494
Tb927.10.6500	2005
Tb927.1.3000	1643
Tb09.211.4330	2404
Tb11.v5.0697	NA
Tb927.3.2090	2583
Tb11.v5.0360	NA
Tb927.8.7520	2001
Tb927.3.4750	2845
Tb11.02.1070	3068
Tb927.3.4790	2845
Tb11.02.0070	2579
Tb11.02.4440	2101
Tb927.10.14790	1718
Tb927.10.5520	2158
Tb11.02.1340	4898
Tb09.211.1320	4588
Tb11.01.7390	4317
Tb927.6.2010	2382
Tb927.8.2450	1652
Tb927.10.3700	2416
Tb927.10.12970	1286
Tb927.10.15690	769
Tb927.10.10330	1797
Tb09.211.3970	609
Tb11.01.4180	1535
Tb927.10.15430	1800
Tb927.10.4060	1618
Tb927.3.4040	2094
Tb927.3.880	760
Tb927.7.7250	4849
Tb09.211.0690	2190
Tb11.01.0440	759
Tb11.01.6010	2706
Tb927.10.3470	2559
Tb927.3.5120	2344
Tb927.6.4610	1570
Tb927.2.2360	4027
Tb927.10.4720	2049
Tb927.8.5760	3070
Tb927.3.5060	1083
Tb927.4.1170	1083
Tb11.v5.0430	NA
Tb927.8.5890	802
Tb927.1.630	830
Tb11.v5.0410	NA
Tb11.v5.0881	NA
Tb927.6.1170	1612
Tb927.8.5510	1218
Tb927.10.14170	1672
Tb927.10.14160	2809
Tb927.6.1520	1324
Tb09.211.1240	2063
Tb927.10.13650	402
Tb09.160.4590	2069
Tb09.160.4570	1705
Tb09.160.4560	1510
Tb927.1.4690	1822
Tb927.10.3560	2440
Tb927.5.3960	1204
Tb927.10.640	2761
Tb927.7.5490	2131
Tb11.46.0008	2230
Tb927.8.5060	700
Tb927.1.1670	4503
Tb927.4.2470	4069
Tb927.10.10600	534
Tb927.10.13190	1754
Tb927.10.4540	567
Tb927.2.2900	734
Tb927.8.4410	1672
Tb927.3.2480	2556
Tb927.3.4060	4409
Tb927.7.1110	2256
Tb927.4.2310	2936
Tb927.10.3660	1696
Tb11.02.2740	3593
Tb927.5.3820	1698
Tb11.v5.0768	NA
Tb927.3.3410	1554
Tb927.10.1260	1892
Tb927.6.1880	1961
Tb927.7.3320	1423
Tb11.02.4790	1771
Tb927.7.5900	1473
Tb927.7.5910	1413
Tb927.2.2260	14808
Tb11.01.7830	624
Tb927.4.2720	2608
Tb927.10.180	1084
Tb927.7.7430	1983
Tb927.7.7420	2056
Tb11.02.0280	2523
Tb927.3.1380	2763
Tb11.01.0415	996
Tb927.1.3820	432
Tb927.6.4990	747
Tb11.01.1190	1598
Tb927.10.730	2959
Tb11.v5.0822	NA
Tb927.10.7360	2671
Tb927.10.10880	2150
Tb11.03.0780	2804
Tb927.2.5980	3281
Tb927.2.3030	3632
Tb927.6.3580	3016
Tb927.8.6690	5566
Tb927.10.6630	1962
Tb927.8.1510	3047
Tb927.10.10380	1690
Tb11.02.2620	1907
Tb11.01.5370	2453
Tb927.10.540	2719
Tb11.v5.0277	NA
Tb11.v5.0279	NA
Tb11.v5.0414	NA
Tb11.v5.0529	NA
Tb927.4.2630	3056
Tb927.3.620	2635
Tb927.10.6260	2300
Tb927.5.4270	2579
Tb927.10.9780	3641
Tb927.7.2970	3514
Tb927.5.3600	3159
Tb927.10.6290	1585
Tb927.10.7080	2295
Tb927.10.1720	1808
Tb927.3.2600	7174
Tb927.5.1560	2596
Tb927.7.7300	3165
Tb09.211.2300	2435
Tb11.01.7100	2848
Tb11.01.8290	2432
Tb11.02.4920	2909
Tb927.1.1620	2715
Tb11.52.0011	2313
Tb11.01.6260	4420
Tb927.6.740	5695
Tb927.4.2390	2652
Tb927.8.3830	2965
Tb927.4.3890	5389
Tb927.4.3020	4323
Tb11.v5.0844	NA
Tb11.v5.0965	NA
Tb11.01.4440	2705
Tb927.3.3270	2483
Tb927.5.1150	3603
Tb11.02.1930	6591
Tb11.v5.0397	NA
Tb927.10.16150	2019
Tb927.4.4210	2671
Tb11.02.5560	4483
Tb927.3.1860	2845
Tb927.7.5080	2794
Tb11.v5.0188	NA
Tb09.244.2700	1523
Tb927.10.13850	1587
Tb927.10.2760	2195
Tb927.6.2930	1759
Tb927.7.2950	2013
Tb927.7.6740	3312
Tb11.02.2950	456
Tb927.10.1570	670
Tb927.7.1470	993
Tb11.01.0900	1560
Tb927.10.8070	1715
Tb927.7.6930	1655
Tb11.03.0160	1986
Tb11.12.0007	1985
Tb11.01.6300	8583
Tb09.211.0210	1616
Tb11.01.5870	1437
Tb11.01.0330	1886
Tb927.3.3920	1151
Tb09.160.0570	1953
Tb11.01.7970	1319
Tb927.6.1690	1241
Tb927.5.3270	3169
Tb11.03.0130	2741
Tb927.6.3940	1637
Tb927.8.3200	4741
Tb11.v5.0192	NA
Tb927.10.14440	1252
Tb11.03.0750	876
Tb09.211.2080	1875
Tb927.10.6830	1403
Tb11.v5.0539	NA
Tb09.244.2400	1311
Tb09.244.2410	1324
Tb09.244.2420	1301
Tb09.244.2430	1322
Tb09.244.2440	1322
Tb09.244.2450	1466
Tb09.244.2460	1313
Tb09.244.2470	1378
Tb09.244.2480	1307
Tb09.244.2490	1414
Tb09.244.2500	1417
Tb09.244.2510	1325
Tb09.244.2520	1321
Tb09.244.2530	1427
Tb11.v5.0153	NA
Tb11.v5.0343	NA
Tb11.v5.0344	NA
Tb11.v5.0345	NA
Tb11.v5.0346	NA
Tb11.v5.0402	NA
Tb11.v5.0403	NA
Tb927.8.6070	5602
Tb927.4.3440	1753
Tb09.211.2310	1455
Tb09.211.3810	432
Tb927.1.2330	1755
Tb927.1.2350	1755
Tb927.1.2370	1755
Tb927.1.2390	1755
Tb927.1.2410	901
Tb11.v5.0469	NA
Tb927.10.11930	1669
Tb927.2.3910	3158
Tb927.8.6420	2137
Tb927.8.3280	1620
Tb927.5.2800	3144
Tb927.7.3170	1733
Tb927.4.1480	3075
Tb927.10.12890	2432
Tb927.10.3010	3915
Tb927.10.850	4692
Tb927.7.7000	5153
Tb927.10.8820	3920
Tb927.4.3120	3036
Tb927.8.3010	2310
Tb11.01.1820	1405
Tb927.11.7460	2314
Tb927.8.2980	1254
Tb11.v5.0223	NA
Tb927.10.260	792
Tb927.8.6190	1083
Tb11.02.4620	2722
Tb927.10.9400	990
Tb10.v4.0043	1269
Tb927.2.4590	2926
Tb927.2.4610	1722
Tb11.v5.0820	NA
Tb927.10.6770	1397
Tb927.1.640	5107
Tb927.10.11250	2824
Tb927.3.2830	1535
Tb927.3.2240	1200
Tb11.18.0002	3311
Tb927.10.7420	2092
Tb927.10.8150	1252
Tb11.01.1830	1271
Tb927.7.4380	2479
Tb11.01.5000	2081
Tb09.160.2240	2202
Tb11.v5.0530	NA
Tb09.160.0600	1818
Tb09.211.3950	1756
Tb11.01.0460	918
Tb11.02.1460	2695
Tb927.10.13980	1078
Tb927.7.6320	2887
Tb927.8.600	1208
Tb927.7.1600	1615
Tb11.01.7170	1404
Tb927.4.4080	1144
Tb927.3.4650	1534
Tb927.10.14890	4074
Tb11.01.0850	2326
Tb11.v5.0625	NA
Tb927_05_v4.snoRNA.0001	87
Tb927_05_v4.snoRNA.0002	87
Tb927_05_v4.snoRNA.0003	86
Tb927_06_v4.snoRNA.0002	93
Tb927_06_v4.snoRNA.0003	93
Tb927_06_v4.snoRNA.0004	93
Tb927_06_v4.snoRNA.0005	93
Tb927_06_v4.snoRNA.0006	93
Tb927_06_v4.snoRNA.0007	64
Tb927_06_v4.snoRNA.0008	64
Tb927_06_v4.snoRNA.0009	64
Tb927_06_v4.snoRNA.0010	64
Tb927_06_v4.snoRNA.0011	64
Tb927_06_v4.snoRNA.0028	89
Tb927_06_v4.snoRNA.0029	89
Tb927_06_v4.snoRNA.0030	89
Tb927_06_v4.snoRNA.0031	89
Tb927_06_v4.snoRNA.0032	89
Tb927_06_v4.snoRNA.0033	89
Tb927_06_v4.snoRNA.0040	90
Tb927_06_v4.snoRNA.0001	99
Tb927_08_v4.snoRNA.0006	74
Tb927_08_v4.snoRNA.0007	74
Tb927_08_v4.snoRNA.0008	74
Tb927_08_v4.snoRNA.0009	74
Tb927_08_v4.snoRNA.0010	74
Tb927_08_v4.snoRNA.0001	118
Tb927_08_v4.snoRNA.0002	118
Tb927_08_v4.snoRNA.0003	118
Tb927_08_v4.snoRNA.0004	118
Tb927_08_v4.snoRNA.0005	118
Tb927_08_v4.snoRNA.0025	78
Tb927_08_v4.snoRNA.0026	78
Tb927_08_v4.snoRNA.0027	78
Tb927_08_v4.snoRNA.0028	78
Tb927_08_v4.snoRNA.0029	78
Tb927_08_v4.snoRNA.0030	78
Tb927_08_v4.snoRNA.0011	96
Tb927_08_v4.snoRNA.0031	94
Tb927_08_v4.snoRNA.0032	94
Tb927_08_v4.snoRNA.0033	94
Tb927_08_v4.snoRNA.0022	83
Tb927_08_v4.snoRNA.0023	83
Tb927_08_v4.snoRNA.0024	83
Tb927_08_v4.snoRNA.0034	87
Tb927_08_v4.snoRNA.0035	87
Tb927_08_v4.snoRNA.0036	87
Tb927_08_v4.snoRNA.0037	82
Tb927_08_v4.snoRNA.0038	82
Tb927_08_v4.snoRNA.0039	82
Tb927_09_v4.snoRNA.0065	36
Tb927_09_v4.snoRNA.0066	36
Tb927_09_v4.snoRNA.0067	36
Tb927_09_v4.snoRNA.0068	36
Tb927_09_v4.snoRNA.0069	36
Tb927_09_v4.snoRNA.0070	36
Tb927_09_v4.snoRNA.0071	237
Tb927_09_v4.snoRNA.0072	276
Tb927_09_v4.snoRNA.0081	33
Tb927_09_v4.snoRNA.0082	33
Tb927_09_v4.snoRNA.0083	33
Tb927_09_v4.snoRNA.0084	33
Tb927_09_v4.snoRNA.0085	33
Tb927_09_v4.snoRNA.0086	33
Tb927_09_v4.snoRNA.0087	36
Tb927_09_v4.snoRNA.0088	36
Tb927_09_v4.snoRNA.0100	27
Tb927_09_v4.snoRNA.0101	27
Tb927_09_v4.snoRNA.0102	93
Tb927_09_v4.snoRNA.0103	27
Tb927_09_v4.snoRNA.0104	27
Tb927_09_v4.snoRNA.0105	93
Tb927_09_v4.snoRNA.0106	78
Tb927_09_v4.snoRNA.0108	285
Tb927_09_v4.snoRNA.0109	285
Tb927_09_v4.snoRNA.0110	285
Tb927_09_v4.snoRNA.0111	285
Tb927_09_v4.snoRNA.0112	285
Tb927_09_v4.snoRNA.0113	186
Tb927_09_v4.snoRNA.0114	285
Tb927_09_v4.snoRNA.0023	156
Tb927_09_v4.snoRNA.0024	156
Tb927_09_v4.snoRNA.0025	156
Tb927_09_v4.snoRNA.0026	156
Tb927_09_v4.snoRNA.0027	156
Tb927_09_v4.snoRNA.0028	156
Tb927_09_v4.snoRNA.0029	156
Tb927_09_v4.snoRNA.0036	45
Tb927_09_v4.snoRNA.0037	45
Tb927_09_v4.snoRNA.0038	45
Tb927_09_v4.snoRNA.0039	45
Tb927_09_v4.snoRNA.0040	45
Tb927_09_v4.snoRNA.0041	45
Tb927_09_v4.snoRNA.0042	75
Tb927_09_v4.snoRNA.0073	27
Tb927_09_v4.snoRNA.0074	27
Tb927_09_v4.snoRNA.0075	27
Tb927_09_v4.snoRNA.0076	27
Tb927_09_v4.snoRNA.0077	27
Tb927_09_v4.snoRNA.0078	27
Tb927_09_v4.snoRNA.0079	9
Tb927_09_v4.snoRNA.0080	9
Tb927_09_v4.snoRNA.0033	174
Tb927_09_v4.snoRNA.0034	174
Tb927_09_v4.snoRNA.0035	174
Tb927_09_v4.snoRNA.0030	54
Tb927_09_v4.snoRNA.0031	54
Tb927_09_v4.snoRNA.0032	54
Tb927_09_v4.snoRNA.0048	69
Tb927_09_v4.snoRNA.0049	27
Tb927_09_v4.snoRNA.0050	27
Tb927_09_v4.snoRNA.0051	69
Tb927_09_v4.snoRNA.0052	69
Tb927_09_v4.snoRNA.0053	69
Tb927_09_v4.snoRNA.0017	255
Tb927_09_v4.snoRNA.0018	255
Tb927_09_v4.snoRNA.0019	255
Tb927_09_v4.snoRNA.0020	255
Tb927_09_v4.snoRNA.0021	255
Tb927_09_v4.snoRNA.0022	255
Tb927_09_v4.snoRNA.0115	63
Tb927_09_v4.snoRNA.0116	63
Tb927_09_v4.snoRNA.0117	63
Tb927_09_v4.snoRNA.0118	63
Tb927_09_v4.snoRNA.0119	63
Tb927_09_v4.snoRNA.0120	225
Tb927_09_v4.snoRNA.0056	144
Tb927_09_v4.snoRNA.0009	87
Tb927_08_v4.snoRNA.0016	83
Tb927_08_v4.snoRNA.0017	83
Tb927_08_v4.snoRNA.0018	83
Tb927_08_v4.snoRNA.0019	83
Tb927_08_v4.snoRNA.0020	83
Tb927_08_v4.snoRNA.0021	83
Tb927_03_v4.snoRNA.0001	NA
Tb927_03_v4.snoRNA.0002	NA
Tb927_11_01_v4.snoRNA.0006	NA
Tb927_11_01_v4.snoRNA.0007	NA
Tb927_11_01_v4.snoRNA.0008	NA
Tb927_11_01_v4.snoRNA.0010	NA
Tb927_11_01_v4.snoRNA.0016	NA
Tb927_11_01_v4.snoRNA.0017	NA
Tb927_11_01_v4.snoRNA.0019	NA
Tb927_11_01_v4.snoRNA.0020	NA
Tb927_11_01_v4.snoRNA.0021	NA
Tb927_11_01_v4.snoRNA.0022	NA
Tb927_11_01_v4.snoRNA.0023	NA
Tb927_11_01_v4.snoRNA.0024	NA
Tb927_11_01_v4.snoRNA.0025	NA
Tb927_11_01_v4.snoRNA.0026	NA
Tb927_11_01_v4.snoRNA.0027	NA
Tb927_11_01_v4.snoRNA.0028	NA
Tb927_11_01_v4.snoRNA.0029	NA
Tb927_11_01_v4.snoRNA.0030	NA
Tb927_11_01_v4.snoRNA.0033	NA
Tb927_11_01_v4.snoRNA.0040	NA
Tb927_11_01_v4.snoRNA.0041	NA
tryp_X-68d04.q1c.snoRNA.0009	NA
tryp_X-68d04.q1c.snoRNA.0010	NA
tryp_X-68d04.q1c.snoRNA.0001	NA
tryp_X-68d04.q1c.snoRNA.0002	NA
tryp_X-68d04.q1c.snoRNA.0005	NA
tryp_X-68d04.q1c.snoRNA.0006	NA
tryp_XI-1036e06.p1k.snoRNA.0001	NA
tryp_XI-1036e06.p1k.snoRNA.0002	NA
tryp_XI-1036e06.p1k.snoRNA.0003	NA
tryp_XI-1036e06.p1k.snoRNA.0004	NA
tryp_IXb-6d06.q1c.snoRNA.0032	NA
tryp_IXb-6d06.q1c.snoRNA.0033	NA
tryp_IXb-6d06.q1c.snoRNA.0034	NA
tryp_IXb-6d06.q1c.snoRNA.0035	NA
tryp_IXb-6d06.q1c.snoRNA.0036	NA
tryp_IXb-6d06.q1c.snoRNA.0031	NA
tryp_IXb-6d06.q1c.snoRNA.0026	NA
tryp_IXb-6d06.q1c.snoRNA.0027	NA
tryp_IXb-6d06.q1c.snoRNA.0028	NA
tryp_IXb-6d06.q1c.snoRNA.0029	NA
tryp_IXb-6d06.q1c.snoRNA.0030	NA
tryp_IXb-6d06.q1c.snoRNA.0025	NA
tryp_IXb-6d06.q1c.snoRNA.0021	NA
tryp_IXb-6d06.q1c.snoRNA.0022	NA
tryp_IXb-6d06.q1c.snoRNA.0023	NA
tryp_IXb-6d06.q1c.snoRNA.0024	NA
tryp_IXb-6d06.q1c.snoRNA.0019	NA
tryp_IXb-6d06.q1c.snoRNA.0020	NA
tryp_IXb-6d06.q1c.snoRNA.0015	NA
