GeneID	ORFlength
Tb927.8.1388	#N/A
Tb927.8.1389	#N/A
Tb927.7.1610	1960
Tb927.8.1020	2109
Tb927.3.2710	3072
Tb11.02.4200	801
Tb09.211.3180	1440
Tb09.211.1580	1275
Tb11.02.4020	1257
Tb927.5.1820	324
Tb09.160.4200	342
Tb927.10.3370	345
Tb927.6.5120	324
Tb927.10.3380	345
Tb927.6.5130	324
Tb927.10.10010	681
Tb11.46.0001	975
Tb11.46.0002	975
Tb927.10.8200	810
Tb09.211.0340	642
Tb09.211.0110	642
Tb927.10.13500	645
Tb11.01.1470	645
Tb09.160.5580	585
Tb09.160.5590	585
Tb09.211.4550	495
Tb927.8.6030	495
Tb927.3.3310	657
Tb927.3.3320	657
Tb927.4.3550	669
Tb927.5.1610	669
Tb927.6.720	570
Tb11.01.3020	570
Tb927.6.5040	615
Tb09.244.2720	615
Tb11.02.2430	501
Tb927.10.14580	501
Tb11.02.1840	582
Tb927.10.9880	582
Tb927.10.3840	540
Tb11.01.5720	540
Tb927.7.5000	783
Tb927.7.5020	783
Tb11.v5.0181	x
Tb11.v5.0182	x
Tb11.01.7960	783
Tb927.5.1110	783
Tb11.0880	#N/A
Tb11.50.0005	480
Tb927.4.1100	480
x	x
Tb927.10.9800	393
Tb11.01.1920	393
Tb09.211.2630	420
Tb09.211.2640	420
Tb927.7.5180	495
Tb927.7.5170	495
Tb927.10.5460	378
Tb11.02.4220	576
Tb927.10.5480	378
Tb09.211.4850	432
Tb927.8.6180	432
Tb11.01.7535	402
Tb11.01.7545	402
Tb09.v1.0640	438
Tb09.211.2650	438
Tb11.02.4050	441
Tb11.02.4070	441
Tb11.01.1790	216
x	216
Tb927.4.1790	1443
Tb927.10.4110	318
Tb927.10.4120	318
Tb09.211.3270	567
Tb09.211.3280	567
Tb927.10.270	399
Tb09.244.2590	399
Tb11.01.1480	513
Tb927.10.12680	513
Tb09.160.0700	384
Tb09.160.0710	384
Tb927.4.2180	450
Tb927.10.1590	330
Tb09.244.2725	#N/A
Tb09.211.0865	255
Tb11.02.0500	255
Tb927.10.220	282
Tb927.10.6370	282
Tb927.10.3280	249
Tb09.160.0815	249
Tb927.8.5260	156
Tb927.3.5050	1125
Tb11.02.0740	321
Tb927.2.6090	321
Tb09.244.2730	954
Tb09.244.2740	927
Tb927.10.11390	579
Tb927.10.13730	897
Tb927.7.1740	729
Tb927.7.1730	729
Tb927.7.1750	729
Tb927.4.5170	504
Tb927.8.1330	831
Tb927.8.1340	831
Tb927.10.1100	570
Tb927.6.4690	564
Tb11.v5.0268	x
Tb927.5.1390	1305
Tb927.5.1410	1308
Tb927.5.1430	1305
Tb927.2.3270	1311
Tb927.2.3280	1311
Tb927.2.3290	1311
Tb927.2.3300	1311
Tb927.2.3310	1311
Tb927.2.3320	1314
Tb11.47.0001	1314
Tb11.v5.0731	x
Tb927.8.4980	1803
Tb927.8.4990	1803
Tb927.8.5000	1803
Tb927.8.5010	1803
Tb927.3.4300	1770
Tb927.3.4310	1770
Tb927.3.4320	1770
Tb927.3.4330	1770
Tb927.5.360	1572
Tb927.5.390	1569
Tb927.5.350	1569
Tb927.5.370	1572
Tb927.5.380	1659
Tb927.5.400	1569
Tb11.v5.0227	x
Tb11.v5.0228	x
Tb11.v5.0229	x
Tb11.v5.0230	x
Tb11.v5.0231	x
Tb11.v5.0421	x
Tb11.v5.0552	x
Tb927.4.2480	1449
Tb927.10.8850	1758
Tb11.01.3270	1365
Tb09.160.0830	1809
Tb11.01.4940	3846
Tb11.02.2550	1572
Tb11.02.4210	3816
Tb927.3.1440	2445
Tb11.v5.0418	x
Tb11.v5.0419	x
Tb927.5.2890	6492
Tb927.4.1600	705
Tb927.10.9290	1083
Tb927.3.4620	4245
Tb927.10.8780	6510
Tb11.v5.0588	x
Tb11.01.0820	3651
Tb09.160.4850	1407
Tb927.1.1700	1482
Tb927.10.15530	1809
Tb11.01.8700	2160
Tb927.1.4420	2838
Tb927.10.3170	2172
Tb927.10.7700	2007
Tb09.160.4600	1941
Tb11.02.3950	5217
Tb927.2.6130	3021
Tb927.3.3730	5538
Tb927.6.2810	1575
Tb927.8.2380	3477
Tb927.2.5410	3846
Tb11.03.0540	1998
Tb11.v5.0748	x
Tb11.v5.0780	x
Tb11.v5.0791	x
Tb927.10.8730	1590
Tb927.8.4000	1911
Tb927.5.3420	1587
Tb11.v5.0736	x
Tb927.10.9900	1548
Tb927.10.11940	1965
Tb927.8.2540	1317
Tb927.8.7100	6546
Tb927.8.2520	2022
Tb927.8.2790	318
Tb927.8.1910	1185
Tb11.v5.0520	x
Tb927.1.4490	519
Tb927.5.2280	1305
Tb927.10.12830	1011
Tb927.8.3310	2001
Tb927.10.7020	1284
Tb927.5.610	1287
Tb927.5.630	1206
Tb09.160.1950	1152
Tb11.02.4910	1245
Tb11.02.4930	1245
Tb927.10.14000	2694
Tb11.01.8820	3762
Tb927.10.16190	3765
Tb927.7.7470	3618
Tb927.10.13040	3630
Tb11.01.5310	3645
Tb09.244.2380	3729
Tb09.211.0620	1131
Tb09.211.0630	1131
Tb927.10.15800	1203
Tb09.160.3850	1251
Tb11.01.1870	1185
Tb927.10.2000	1677
Tb927.3.3020	981
Tb09.160.3960	1266
Tb927.4.980	1119
Tb11.02.1380	1302
Tb927.10.13710	996
Tb927.3.860	447
Tb927.7.6770	294
Tb11.02.1010	726
Tb09.211.3020	1653
Tb927.4.2010	282
Tb11.52.0001	2337
Tb927.8.1420	1560
Tb11.01.3640	1824
Tb927.2.5020	2187
Tb927.3.4260	1107
Tb927.3.2030	333
Tb927.3.4820	918
Tb927.3.3360	1401
Tb927.10.8040	2088
Tb927.4.760	2406
Tb927.7.3180	1299
Tb927.3.4000	480
Tb11.01.2420	2757
Tb927.5.3610	3384
Tb927.4.2020	1281
Tb927.8.6680	495
Tb927.10.9230	2310
Tb927.6.2960	3078
Tb927.8.7050	1365
Tb927.10.14260	534
Tb927.7.1790	693
Tb927.7.1780	708
Tb927.7.4480	426
Tb11.v5.0261	x
Tb927.10.10810	1857
Tb927.6.2360	1038
Tb927.6.2300	1038
Tb09.160.5250	5073
Tb927.5.286b	1392
Tb927.2.6150	1389
Tb927.2.6240	1392
Tb927.2.6200	1395
Tb927.2.6220	1389
Tb927.2.6320	1389
Tb927.2.6280	1401
Tb927.3.590	1389
Tb11.v5.0210	x
Tb11.v5.0209	x
Tb927.6.3210	534
Tb927.10.5760	648
Tb927.2.5660	783
Tb927.10.830	783
Tb927.10.2540	690
Tb927.5.3970	783
Tb927.10.2530	669
Tb09.211.0350	603
Tb927.10.16140	801
Tb09.160.5560	1416
Tb11.v5.0435	x
Tb11.02.1120	1809
Tb927.6.390	3588
Tb927.4.4420	3714
Tb927.5.3390	357
Tb927.5.3380	1824
Tb927.10.9300	924
Tb927.6.2270	753
Tb927.10.8580	573
Tb09.160.0850	1062
Tb927.10.9670	2934
Tb11.01.6060	924
Tb927.3.5330	828
Tb11.01.0920	876
Tb09.244.2540	1242
Tb11.01.1230	1062
Tb927.10.4250	561
Tb927.3.3450	537
Tb11.v5.0234	x
Tb09.160.5300	582
Tb927.10.5230	813
Tb927.6.3650	552
Tb09.160.5600	570
Tb09.211.4460	549
Tb09.211.4470	549
Tb09.211.4480	549
Tb09.211.4490	#N/A
x	549
x	549
Tb927.7.6230	573
Tb927.10.2230	1803
Tb927.3.2440	1221
Tb927.8.2020	996
Tb927.10.10850	2712
Tb11.01.8770	3000
Tb927.8.3610	1341
Tb927.10.14770	1923
Tb927.5.1280	774
Tb927.6.700	2901
Tb11.02.2040	378
Tb11.02.2030	354
Tb927.4.2040	573
Tb927.4.2030	654
Tb927.6.3050	1632
Tb927.8.7770	1680
Tb927.6.4210	1788
Tb927.10.6190	1512
Tb927.2.5180	1020
Tb11.02.3040	939
Tb927.4.1360	882
Tb927.4.460	972
Tb927.1.2340	1356
Tb927.1.2360	1356
Tb927.1.2380	1356
Tb927.1.2400	1356
Tb11.v5.0468	x
Tb09.211.0860	1413
Tb927.3.1400	1005
Tb927.1.4780	2013
Tb927.4.600	954
Tb927.6.1810	1242
Tb09.211.3880	1269
Tb11.01.5750	987
Tb11.02.1170	1128
Tb927.5.2750	1281
Tb927.7.340	984
Tb927.8.2110	1074
Tb09.160.2540	615
Tb09.160.2600	615
Tb927.10.9760	1056
Tb927.10.7090	990
Tb927.4.3500	531
Tb11.01.0110	900
Tb927.4.3520	537
Tb11.01.0100	1371
Tb927.8.2410	714
Tb927.4.1300	1125
Tb927.10.5780	1731
Tb927.8.7660	#N/A
Tb927.8.7690	486
Tb927.8.4750	#N/A
Tb927.8.7610	1404
Tb927.8.7620	1404
Tb927.8.7630	1404
Tb927.8.7640	1404
Tb927.4.4820	1422
Tb927.4.4840	1422
Tb11.v5.0540	x
Tb927.4.4860	1422
Tb927.8.8290	1416
Tb927.8.7600	1404
Tb927.8.7670	1401
Tb927.8.7700	1464
Tb927.8.8300	1416
Tb11.01.7590	1488
Tb11.01.7600	1485
Tb927.10.9850	1689
Tb927.4.3930	1362
Tb927.4.3990	1371
Tb927.4.4000	1371
Tb927.4.4010	1371
Tb927.4.4020	1416
Tb927.4.4830	1353
Tb927.4.4850	1353
Tb927.4.4870	1356
Tb927.8.4710	1377
Tb927.8.4720	1377
Tb927.8.4730	1377
Tb927.8.4740	1377
Tb927.8.7650	1401
Tb927.8.7680	1464
Tb927.8.7740	1404
Tb927.8.8220	1383
Tb927.8.8230	1386
Tb927.8.8240	1383
Tb927.8.8250	1386
Tb927.8.8260	1383
Tb11.v5.0541	x
Tb11.v5.0569	x
Tb11.v5.0885	x
Tb927.8.5450	1467
Tb927.4.4730	1422
Tb927.8.4700	1377
Tb927.10.6500	1362
Tb927.1.3000	1209
Tb09.211.4330	1470
Tb11.v5.0697	x
Tb927.3.2090	1848
Tb11.v5.0360	x
Tb927.8.7520	1956
Tb927.3.4750	2616
Tb11.02.1070	2616
Tb927.3.4790	2616
Tb11.02.0070	1698
Tb11.02.4440	1566
Tb927.10.14790	1149
Tb927.10.5520	972
Tb11.02.1340	4677
Tb09.211.1320	4254
Tb11.01.7390	4254
Tb927.6.2010	1572
Tb927.8.2450	933
Tb927.10.3700	1509
Tb927.10.12970	912
Tb927.10.15690	708
Tb927.10.10330	1674
Tb09.211.3970	540
Tb11.01.4180	480
Tb927.10.15430	1665
Tb927.10.4060	1107
Tb927.3.4040	1860
Tb927.3.880	735
Tb927.7.7250	3954
Tb09.211.0690	1038
Tb11.01.0440	627
Tb11.01.6010	1584
Tb927.10.3470	2427
Tb927.3.5120	2121
Tb927.6.4610	1242
Tb927.2.2360	2043
Tb927.10.4720	1083
Tb927.8.5760	1437
Tb927.3.5060	1044
Tb927.4.1170	1020
Tb11.v5.0430	x
Tb927.8.5890	675
Tb927.1.630	516
Tb11.v5.0410	x
Tb11.v5.0881	x
Tb927.6.1170	1290
Tb927.8.5510	1191
Tb927.10.14170	939
Tb927.10.14160	915
Tb927.6.1520	966
Tb09.211.1240	1056
Tb927.10.13650	384
Tb09.160.4590	1071
Tb09.160.4570	1113
Tb09.160.4560	1215
Tb927.1.4690	1038
Tb927.10.3560	1170
Tb927.5.3960	1107
Tb927.10.640	2355
Tb927.7.5490	1173
Tb11.46.0008	2079
Tb927.8.5060	570
Tb927.1.1670	3246
Tb927.4.2470	4035
Tb927.10.10600	336
Tb927.10.13190	1158
Tb927.10.4540	552
Tb927.2.2900	543
Tb927.8.4410	1011
Tb927.3.2480	759
Tb927.3.4060	2571
Tb927.7.1110	1056
Tb927.4.2310	2004
Tb927.10.3660	1212
Tb11.02.2740	1254
Tb927.5.3820	984
Tb11.v5.0768	x
Tb927.3.3410	1356
Tb927.10.1260	1626
Tb927.6.1880	1683
Tb927.7.3320	405
Tb11.02.4790	1626
Tb927.7.5900	351
Tb927.7.5910	363
Tb927.2.2260	12834
Tb11.01.7830	570
Tb927.4.2720	2220
Tb927.10.180	918
Tb927.7.7430	1755
Tb927.7.7420	1755
Tb11.02.0280	2097
Tb927.3.1380	1560
Tb11.01.0415	207
Tb927.1.3820	402
Tb927.6.4990	549
Tb11.01.1190	651
Tb927.10.730	1407
Tb11.v5.0822	x
Tb927.10.7360	1941
Tb927.10.10880	2055
Tb11.03.0780	1800
Tb927.2.5980	2613
Tb927.2.3030	2439
Tb927.6.3580	2742
Tb927.8.6690	4647
Tb927.10.6630	1707
Tb927.8.1510	3034
Tb927.10.10380	1563
Tb11.02.2620	1806
Tb11.01.5370	1671
Tb927.10.540	1311
Tb11.v5.0277	x
Tb11.v5.0279	x
Tb11.v5.0414	x
Tb11.v5.0529	x
Tb927.4.2630	2532
Tb927.3.620	2427
Tb927.10.6260	1815
Tb927.5.4270	2487
Tb927.10.9780	2637
Tb927.7.2970	2475
Tb927.5.3600	2847
Tb927.10.6290	1539
Tb927.10.7080	2067
Tb927.10.1720	1791
Tb927.3.2600	6513
Tb927.5.1560	2262
Tb927.7.7300	3051
Tb09.211.2300	2106
Tb11.01.7100	2178
Tb11.01.8290	1710
Tb11.02.4920	1653
Tb927.1.1620	2220
Tb11.52.0011	2262
Tb11.01.6260	4092
Tb927.6.740	3756
Tb927.4.2390	2229
Tb927.8.3830	2238
Tb927.4.3890	3282
Tb927.4.3020	4323
Tb11.v5.0844	x
Tb11.v5.0965	x
Tb11.01.4440	2532
Tb927.3.3270	1464
Tb927.5.1150	2208
Tb11.02.1930	6456
Tb11.v5.0397	x
Tb927.10.16150	1734
Tb927.4.4210	2634
Tb11.02.5560	2178
Tb927.3.1860	2316
Tb927.7.5080	2172
Tb11.v5.0188	x
Tb09.244.2700	#N/A
Tb927.10.13850	1143
Tb927.10.2760	2169
Tb927.6.2930	1590
Tb927.7.2950	2013
Tb927.7.6740	2982
Tb11.02.2950	357
Tb927.10.1570	357
Tb927.7.1470	354
Tb11.01.0900	1368
Tb927.10.8070	1479
Tb927.7.6930	1473
Tb11.03.0160	1974
Tb11.12.0007	1959
Tb11.01.6300	8583
Tb09.211.0210	1296
Tb11.01.5870	1086
Tb11.01.0330	930
Tb927.3.3920	1143
Tb09.160.0570	1953
Tb11.01.7970	1047
Tb927.6.1690	984
Tb927.5.3270	2502
Tb11.03.0130	1965
Tb927.6.3940	1095
Tb927.8.3200	4218
Tb11.v5.0192	x
Tb927.10.14440	861
Tb11.03.0750	555
Tb09.211.2080	1794
Tb927.10.6830	1401
Tb11.v5.0539	x
Tb09.244.2400	783
Tb09.244.2410	786
Tb09.244.2420	765
Tb09.244.2430	783
Tb09.244.2440	783
Tb09.244.2450	981
Tb09.244.2460	768
Tb09.244.2470	837
Tb09.244.2480	768
Tb09.244.2490	873
Tb09.244.2500	873
Tb09.244.2510	783
Tb09.244.2520	783
Tb09.244.2530	891
Tb11.v5.0153	x
Tb11.v5.0343	x
Tb11.v5.0344	x
Tb11.v5.0345	x
Tb11.v5.0346	x
Tb11.v5.0402	x
Tb11.v5.0403	x
Tb927.8.6070	4239
Tb927.4.3440	1353
Tb09.211.2310	1113
Tb09.211.3810	423
Tb927.1.2330	1329
Tb927.1.2350	1329
Tb927.1.2370	1329
Tb927.1.2390	1329
Tb927.1.2410	901
Tb11.v5.0469	x
Tb927.10.11930	783
Tb927.2.3910	1503
Tb927.8.6420	1497
Tb927.8.3280	1104
Tb927.5.2800	3255
Tb927.7.3170	1176
Tb927.4.1480	2163
Tb927.10.12890	2427
Tb927.10.3010	3672
Tb927.10.850	4509
Tb927.7.7000	4791
Tb927.10.8820	2301
Tb927.4.3120	2802
Tb927.8.3010	2214
Tb11.01.1820	744
Tb927.11.7460	1962
Tb927.8.2980	1251
Tb11.v5.0223	x
Tb927.10.260	234
Tb927.8.6190	264
Tb11.02.4620	2346
Tb927.10.9400	816
Tb10.v4.0043	#N/A
Tb927.2.4590	1104
Tb927.2.4610	1104
Tb11.v5.0820	x
Tb927.10.6770	654
Tb927.1.640	4947
Tb927.10.11250	2619
Tb927.3.2830	1095
Tb927.3.2240	1200
Tb11.18.0002	2589
Tb927.10.7420	675
Tb927.10.8150	906
Tb11.01.1830	666
Tb927.7.4380	1893
Tb11.01.5000	1983
Tb09.160.2240	1662
Tb11.v5.0530	x
Tb09.160.0600	1806
Tb09.211.3950	1554
Tb11.01.0460	915
Tb11.02.1460	2190
Tb927.10.13980	621
Tb927.7.6320	1920
Tb927.8.600	912
Tb927.7.1600	897
Tb11.01.7170	1377
Tb927.4.4080	741
Tb927.3.4650	666
x	x
Tb927.10.14890	2463
Tb11.01.0850	2010
Tb11.v5.0625	x
Tb927_05_v4.snoRNA.0001	#N/A
Tb927_05_v4.snoRNA.0002	#N/A
Tb927_05_v4.snoRNA.0003	#N/A
Tb927_06_v4.snoRNA.0002	#N/A
Tb927_06_v4.snoRNA.0003	#N/A
Tb927_06_v4.snoRNA.0004	#N/A
Tb927_06_v4.snoRNA.0005	#N/A
Tb927_06_v4.snoRNA.0006	#N/A
Tb927_06_v4.snoRNA.0007	#N/A
Tb927_06_v4.snoRNA.0008	#N/A
Tb927_06_v4.snoRNA.0009	#N/A
Tb927_06_v4.snoRNA.0010	#N/A
Tb927_06_v4.snoRNA.0011	#N/A
Tb927_06_v4.snoRNA.0028	#N/A
Tb927_06_v4.snoRNA.0029	#N/A
Tb927_06_v4.snoRNA.0030	#N/A
Tb927_06_v4.snoRNA.0031	#N/A
Tb927_06_v4.snoRNA.0032	#N/A
Tb927_06_v4.snoRNA.0033	#N/A
Tb927_06_v4.snoRNA.0040	#N/A
Tb927_06_v4.snoRNA.0001	#N/A
Tb927_08_v4.snoRNA.0006	#N/A
Tb927_08_v4.snoRNA.0007	#N/A
Tb927_08_v4.snoRNA.0008	#N/A
Tb927_08_v4.snoRNA.0009	#N/A
Tb927_08_v4.snoRNA.0010	#N/A
Tb927_08_v4.snoRNA.0001	#N/A
Tb927_08_v4.snoRNA.0002	#N/A
Tb927_08_v4.snoRNA.0003	#N/A
Tb927_08_v4.snoRNA.0004	#N/A
Tb927_08_v4.snoRNA.0005	#N/A
Tb927_08_v4.snoRNA.0025	#N/A
Tb927_08_v4.snoRNA.0026	#N/A
Tb927_08_v4.snoRNA.0027	#N/A
Tb927_08_v4.snoRNA.0028	#N/A
Tb927_08_v4.snoRNA.0029	#N/A
Tb927_08_v4.snoRNA.0030	#N/A
Tb927_08_v4.snoRNA.0011	#N/A
Tb927_08_v4.snoRNA.0031	#N/A
Tb927_08_v4.snoRNA.0032	#N/A
Tb927_08_v4.snoRNA.0033	#N/A
Tb927_08_v4.snoRNA.0022	#N/A
Tb927_08_v4.snoRNA.0023	#N/A
Tb927_08_v4.snoRNA.0024	#N/A
Tb927_08_v4.snoRNA.0034	#N/A
Tb927_08_v4.snoRNA.0035	#N/A
Tb927_08_v4.snoRNA.0036	#N/A
Tb927_08_v4.snoRNA.0037	#N/A
Tb927_08_v4.snoRNA.0038	#N/A
Tb927_08_v4.snoRNA.0039	#N/A
Tb927_09_v4.snoRNA.0065	#N/A
Tb927_09_v4.snoRNA.0066	#N/A
Tb927_09_v4.snoRNA.0067	#N/A
Tb927_09_v4.snoRNA.0068	#N/A
Tb927_09_v4.snoRNA.0069	#N/A
Tb927_09_v4.snoRNA.0070	#N/A
Tb927_09_v4.snoRNA.0071	#N/A
Tb927_09_v4.snoRNA.0072	#N/A
Tb927_09_v4.snoRNA.0081	#N/A
Tb927_09_v4.snoRNA.0082	#N/A
Tb927_09_v4.snoRNA.0083	#N/A
Tb927_09_v4.snoRNA.0084	#N/A
Tb927_09_v4.snoRNA.0085	#N/A
Tb927_09_v4.snoRNA.0086	#N/A
Tb927_09_v4.snoRNA.0087	#N/A
Tb927_09_v4.snoRNA.0088	#N/A
Tb927_09_v4.snoRNA.0100	#N/A
Tb927_09_v4.snoRNA.0101	#N/A
Tb927_09_v4.snoRNA.0102	#N/A
Tb927_09_v4.snoRNA.0103	#N/A
Tb927_09_v4.snoRNA.0104	#N/A
Tb927_09_v4.snoRNA.0105	#N/A
Tb927_09_v4.snoRNA.0106	#N/A
Tb927_09_v4.snoRNA.0108	#N/A
Tb927_09_v4.snoRNA.0109	#N/A
Tb927_09_v4.snoRNA.0110	#N/A
Tb927_09_v4.snoRNA.0111	#N/A
Tb927_09_v4.snoRNA.0112	#N/A
Tb927_09_v4.snoRNA.0113	#N/A
Tb927_09_v4.snoRNA.0114	#N/A
Tb927_09_v4.snoRNA.0023	#N/A
Tb927_09_v4.snoRNA.0024	#N/A
Tb927_09_v4.snoRNA.0025	#N/A
Tb927_09_v4.snoRNA.0026	#N/A
Tb927_09_v4.snoRNA.0027	#N/A
Tb927_09_v4.snoRNA.0028	#N/A
Tb927_09_v4.snoRNA.0029	#N/A
Tb927_09_v4.snoRNA.0036	#N/A
Tb927_09_v4.snoRNA.0037	#N/A
Tb927_09_v4.snoRNA.0038	#N/A
Tb927_09_v4.snoRNA.0039	#N/A
Tb927_09_v4.snoRNA.0040	#N/A
Tb927_09_v4.snoRNA.0041	#N/A
Tb927_09_v4.snoRNA.0042	#N/A
Tb927_09_v4.snoRNA.0073	#N/A
Tb927_09_v4.snoRNA.0074	#N/A
Tb927_09_v4.snoRNA.0075	#N/A
Tb927_09_v4.snoRNA.0076	#N/A
Tb927_09_v4.snoRNA.0077	#N/A
Tb927_09_v4.snoRNA.0078	#N/A
Tb927_09_v4.snoRNA.0079	#N/A
Tb927_09_v4.snoRNA.0080	#N/A
Tb927_09_v4.snoRNA.0033	#N/A
Tb927_09_v4.snoRNA.0034	#N/A
Tb927_09_v4.snoRNA.0035	#N/A
Tb927_09_v4.snoRNA.0030	#N/A
Tb927_09_v4.snoRNA.0031	#N/A
Tb927_09_v4.snoRNA.0032	#N/A
Tb927_09_v4.snoRNA.0048	#N/A
Tb927_09_v4.snoRNA.0049	#N/A
Tb927_09_v4.snoRNA.0050	#N/A
Tb927_09_v4.snoRNA.0051	#N/A
Tb927_09_v4.snoRNA.0052	#N/A
Tb927_09_v4.snoRNA.0053	#N/A
Tb927_09_v4.snoRNA.0017	#N/A
Tb927_09_v4.snoRNA.0018	#N/A
Tb927_09_v4.snoRNA.0019	#N/A
Tb927_09_v4.snoRNA.0020	#N/A
Tb927_09_v4.snoRNA.0021	#N/A
Tb927_09_v4.snoRNA.0022	#N/A
Tb927_09_v4.snoRNA.0115	#N/A
Tb927_09_v4.snoRNA.0116	#N/A
Tb927_09_v4.snoRNA.0117	#N/A
Tb927_09_v4.snoRNA.0118	#N/A
Tb927_09_v4.snoRNA.0119	#N/A
Tb927_09_v4.snoRNA.0120	#N/A
Tb927_09_v4.snoRNA.0056	#N/A
Tb927_09_v4.snoRNA.0009	#N/A
Tb927_08_v4.snoRNA.0016	#N/A
Tb927_08_v4.snoRNA.0017	#N/A
Tb927_08_v4.snoRNA.0018	#N/A
Tb927_08_v4.snoRNA.0019	#N/A
Tb927_08_v4.snoRNA.0020	#N/A
Tb927_08_v4.snoRNA.0021	#N/A
Tb927_03_v4.snoRNA.0001	#N/A
Tb927_03_v4.snoRNA.0002	#N/A
Tb927_11_01_v4.snoRNA.0006	#N/A
Tb927_11_01_v4.snoRNA.0007	#N/A
Tb927_11_01_v4.snoRNA.0008	#N/A
Tb927_11_01_v4.snoRNA.0010	#N/A
Tb927_11_01_v4.snoRNA.0016	#N/A
Tb927_11_01_v4.snoRNA.0017	#N/A
Tb927_11_01_v4.snoRNA.0019	#N/A
Tb927_11_01_v4.snoRNA.0020	#N/A
Tb927_11_01_v4.snoRNA.0021	#N/A
Tb927_11_01_v4.snoRNA.0022	#N/A
Tb927_11_01_v4.snoRNA.0023	#N/A
Tb927_11_01_v4.snoRNA.0024	#N/A
Tb927_11_01_v4.snoRNA.0025	#N/A
Tb927_11_01_v4.snoRNA.0026	#N/A
Tb927_11_01_v4.snoRNA.0027	#N/A
Tb927_11_01_v4.snoRNA.0028	#N/A
Tb927_11_01_v4.snoRNA.0029	#N/A
